SampleID,NumVars,Degree,FullBasisSize,RLPrunedSize,NPPrunedSize,TSSOSPrunedSize,RandomPrunedSize,FullBasis_SDPTime(s),RL_SDPTime(s),NP_SDPTime(s),TSSOS_SDPTime(s),RandomPruning_SDPTime(s),RL_Speedup,NP_Speedup,TSSOS_Speedup,RandomPruning_Speedup
8,3,4,10,6,6,6,9,0.022,0.011,0.011,0.013,0.024,1.89x,1.91x,1.66x,0.92x
9,4,4,15,7,10,10,15,0.049,0.015,0.020,0.027,0.040,3.35x,2.45x,1.82x,1.23x
11,3,4,10,10,10,10,10,0.020,0.022,0.019,0.023,0.020,0.90x,1.02x,0.85x,1.00x
101,3,8,35,7,15,15,24,0.537,0.019,0.052,0.058,0.162,28.64x,10.40x,9.21x,3.32x
15,3,4,10,4,6,6,5,0.028,0.010,0.014,0.014,0.013,2.88x,2.00x,2.04x,2.26x
16,3,4,10,4,6,6,10,0.030,0.010,0.016,0.013,0.027,2.97x,1.91x,2.37x,1.12x
21,3,6,20,6,7,10,10,0.095,0.015,0.017,0.022,0.032,6.54x,5.63x,4.37x,3.00x
22,3,6,20,6,10,9,20,0.121,0.015,0.026,0.024,0.097,8.02x,4.73x,4.98x,1.24x
30,3,6,20,20,20,17,20,0.085,0.093,0.096,0.077,0.096,0.91x,0.89x,1.11x,0.89x
10,4,4,15,10,6,14,15,0.062,0.041,0.017,0.057,0.065,1.50x,3.73x,1.09x,0.96x
33,4,6,35,31,35,31,34,0.393,0.301,0.488,0.263,0.548,1.31x,0.81x,1.49x,0.72x
35,3,6,20,6,11,20,19,0.111,0.019,0.041,0.113,0.088,5.92x,2.68x,0.98x,1.26x
65,3,8,35,3,15,12,33,0.398,0.007,0.052,0.033,0.291,60.67x,7.61x,11.89x,1.37x
54,3,8,35,13,15,12,31,0.372,0.051,0.055,0.040,0.338,7.31x,6.74x,9.33x,1.10x
55,3,8,35,3,6,15,35,0.381,0.007,0.017,0.049,0.416,56.44x,21.76x,7.76x,0.92x
57,3,8,35,9,35,22,27,0.332,0.032,0.386,0.105,0.141,10.35x,0.86x,3.15x,2.36x
58,3,8,35,10,15,15,35,0.407,0.030,0.050,0.051,0.416,13.72x,8.10x,8.01x,0.98x
59,3,8,35,12,15,12,33,0.491,0.039,0.050,0.039,0.340,12.62x,9.84x,12.64x,1.44x
60,3,8,35,9,15,15,23,0.279,0.023,0.037,0.041,0.107,11.97x,7.54x,6.84x,2.60x
3,3,6,20,13,8,17,17,0.078,0.033,0.017,0.053,0.063,2.36x,4.69x,1.46x,1.23x
